Player,Team,Position,Fee,Season,Transfer
Ji-sung Park,Manchester United,Attacking Midfield,3.1,2012/2013,Departure
Sébastien Bassong,Tottenham Hotspur,Centre-Back,3.0,2012/2013,Departure
Marko Marin,Chelsea,Attacking Midfield,3.0,2016/2017,Departure
Christian Atsu,Chelsea,Left Winger,3.0,2013/2014,Arrival
Rob Holding,Arsenal,Centre-Back,3.0,2016/2017,Arrival
Bebé,Manchester United,Left Winger,3.0,2014/2015,Departure
Wellington Silva,Arsenal,Right Winger,3.0,2016/2017,Departure
Chicharito,Manchester United,Centre-Forward,3.0,2014/2015,Departure
Pepe Reina,Liverpool,Goalkeeper,3.0,2014/2015,Departure
Olarenwaju Kayode,Manchester City,Centre-Forward,3.0,2018/2019,Departure
Andreas Pereira,Manchester United,Attacking Midfield,3.0,2017/2018,Departure
Michy Batshuayi,Chelsea,Centre-Forward,3.0,2018/2019,Departure
Ethan Ampadu,Chelsea,Defensive Midfield,2.8,2017/2018,Arrival
Sebastián Coates,Liverpool,Centre-Back,2.8,2015/2016,Departure
Johan Djourou,Arsenal,Centre-Back,2.8,2014/2015,Departure
DeAndre Yedlin,Tottenham Hotspur,Right-Back,2.6,2014/2015,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,2.5,2014/2015,Arrival
Luka Ilic,Manchester City,Attacking Midfield,2.5,2017/2018,Arrival
Philippe Sandler,Manchester City,Centre-Back,2.5,2018/2019,Arrival
Denis Suárez,Arsenal,Attacking Midfield,2.5,2018/2019,Arrival
Charly Musonda Jr.,Chelsea,Left Winger,2.5,2017/2018,Departure
Stevan Jovetic,Manchester City,Centre-Forward,2.5,2015/2016,Departure
Mario Pasalic,Chelsea,Central Midfield,2.5,2018/2019,Departure
Vincent Janssen,Tottenham Hotspur,Centre-Forward,2.5,2017/2018,Departure
Loris Karius,Liverpool,Goalkeeper,2.5,2018/2019,Departure
Lukas Podolski,Arsenal,Attacking Midfield,2.5,2015/2016,Departure
Lewis Holtby,Tottenham Hotspur,Central Midfield,2.5,2014/2015,Departure
Mario Pasalic,Chelsea,Central Midfield,2.5,2014/2015,Arrival
Stipe Perica,Chelsea,Centre-Forward,2.45,2013/2014,Arrival
Vito Mannone,Arsenal,Goalkeeper,2.4,2013/2014,Departure
Wilfried Bony,Manchester City,Centre-Forward,2.35,2016/2017,Departure
Jack Wilshere,Arsenal,Central Midfield,2.35,2016/2017,Departure
Scott Sinclair,Manchester City,Left Winger,2.3,2013/2014,Departure
Mamadou Sakho,Liverpool,Centre-Back,2.3,2016/2017,Departure
Joe Hart,Manchester City,Goalkeeper,2.3,2017/2018,Departure
Daniel Sturridge,Liverpool,Centre-Forward,2.3,2017/2018,Departure
Andre Wisdom,Liverpool,Right-Back,2.3,2017/2018,Departure
Oleksandr Zinchenko,Manchester City,Left-Back,2.25,2016/2017,Arrival
Krystian Bielik,Arsenal,Defensive Midfield,2.25,2014/2015,Arrival
Chuba Akpom,Arsenal,Centre-Forward,2.2,2018/2019,Departure
Konstantinos Mavropanos,Arsenal,Centre-Back,2.1,2017/2018,Arrival
Iago Falque,Tottenham Hotspur,Right Winger,2.0,2014/2015,Departure
Rubén Sobrino,Manchester City,Centre-Forward,2.0,2017/2018,Departure
Alberto Aquilani,Liverpool,Central Midfield,2.0,2012/2013,Departure
Javier Manquillo,Liverpool,Right-Back,2.0,2014/2015,Arrival
Martin Kelly,Liverpool,Right-Back,2.0,2014/2015,Departure
Bertrand Traoré,Chelsea,Right Winger,2.0,2016/2017,Departure
Dedryck Boyata,Manchester City,Centre-Back,2.0,2015/2016,Departure
Patrick van Aanholt,Chelsea,Left-Back,1.9,2014/2015,Departure
Ignasi Miquel,Arsenal,Centre-Back,1.9,2014/2015,Departure
Patrice Evra,Manchester United,Left-Back,1.9,2014/2015,Departure
Cristian Cuevas,Chelsea,Left Winger,1.9,2013/2014,Arrival
Tyler Blackett,Manchester United,Left-Back,1.8,2016/2017,Departure
Andre Wisdom,Liverpool,Right-Back,1.8,2015/2016,Departure
Wilfried Zaha,Manchester United,Left Winger,1.8,2013/2014,Departure
Vladimír Weiss,Manchester City,Left Winger,1.8,2012/2013,Departure
Juan Cuadrado,Chelsea,Right Midfield,1.8,2015/2016,Departure
Fabio Borini,Liverpool,Left Winger,1.8,2013/2014,Departure
Lewis Holtby,Tottenham Hotspur,Central Midfield,1.75,2012/2013,Arrival
Vanja Milinković-Savić,Manchester United,Goalkeeper,1.75,2014/2015,Arrival
Lee Grant,Manchester United,Goalkeeper,1.7,2018/2019,Arrival
Ángelo Henríquez,Manchester United,Centre-Forward,1.67,2015/2016,Departure
Jay Spearing,Liverpool,Defensive Midfield,1.6,2013/2014,Departure
Ragnar Klavan,Liverpool,Centre-Back,1.52,2018/2019,Departure
Wallace Oliveira,Chelsea,Right-Back,1.5,2013/2014,Departure
Joel Campbell,Arsenal,Right Winger,1.5,2018/2019,Departure
Thorgan Hazard,Chelsea,Left Winger,1.5,2014/2015,Departure
Thomas Eisfeld,Arsenal,Central Midfield,1.5,2014/2015,Departure
Michy Batshuayi,Chelsea,Centre-Forward,1.5,2017/2018,Departure
Florian Lejeune,Manchester City,Centre-Back,1.5,2016/2017,Departure
Ángelo Henríquez,Manchester United,Centre-Forward,1.5,2014/2015,Departure
Samed Yesil,Liverpool,Centre-Forward,1.3,2012/2013,Arrival
Suso,Liverpool,Right Winger,1.3,2014/2015,Departure
Andy Carroll,Liverpool,Centre-Forward,1.25,2012/2013,Departure
Henri Lansbury,Arsenal,Central Midfield,1.25,2012/2013,Departure
Bruno Zuculini,Manchester City,Defensive Midfield,1.25,2017/2018,Departure
Jack Robinson,Liverpool,Centre-Back,1.25,2014/2015,Departure
Ritchie De Laet,Manchester United,Right-Back,1.25,2012/2013,Departure
Marouane Chamakh,Arsenal,Centre-Forward,1.2,2013/2014,Departure
Will Keane,Manchester United,Centre-Forward,1.2,2016/2017,Departure
Federico Fazio,Tottenham Hotspur,Centre-Back,1.2,2016/2017,Departure
Victor Moses,Chelsea,Right Midfield,1.2,2013/2014,Departure
Victor Moses,Liverpool,Right Midfield,1.2,2013/2014,Arrival
Michy Batshuayi,Chelsea,Centre-Forward,1.15,2018/2019,Departure
Taiwo Awoniyi,Liverpool,Centre-Forward,1.1,2015/2016,Arrival
Pau López,Tottenham Hotspur,Goalkeeper,1.1,2016/2017,Arrival
Ko Itakura,Manchester City,Centre-Back,1.1,2018/2019,Arrival
Harry Wilson,Liverpool,Right Winger,1.1,2018/2019,Departure
Josh McEachran,Chelsea,Central Midfield,1.04,2015/2016,Departure
Takuma Asano,Arsenal,Right Winger,1.0,2018/2019,Departure
Micah Richards,Manchester City,Right-Back,1.0,2014/2015,Departure
Mario Pasalic,Chelsea,Central Midfield,1.0,2016/2017,Departure
Marko Grujic,Liverpool,Defensive Midfield,1.0,2015/2016,Departure
Loïc Rémy,Chelsea,Centre-Forward,1.0,2016/2017,Departure
Marco van Ginkel,Chelsea,Central Midfield,1.0,2014/2015,Departure
Marko Grujic,Liverpool,Defensive Midfield,1.0,2018/2019,Departure
Fernando Torres,Chelsea,Centre-Forward,1.0,2014/2015,Departure
Emiliano Viviano,Arsenal,Goalkeeper,1.0,2013/2014,Arrival
Kristoffer Olsson,Arsenal,Central Midfield,1.0,2014/2015,Departure
Giovani dos Santos,Tottenham Hotspur,Second Striker,1.0,2012/2013,Departure
Oriol Romeu,Chelsea,Defensive Midfield,1.0,2013/2014,Departure
Aly Cissokho,Liverpool,Centre-Back,1.0,2013/2014,Arrival
Joel Campbell,Arsenal,Right Winger,1.0,2014/2015,Departure
Yangel Herrera,Manchester City,Central Midfield,1.0,2016/2017,Arrival
Dirk Kuyt,Liverpool,Right Winger,1.0,2012/2013,Departure
Daniel Arzani,Manchester City,Right Winger,0.89,2018/2019,Arrival
Lucas Piazón,Chelsea,Attacking Midfield,0.8,2014/2015,Departure
Kenneth Omeruo,Chelsea,Centre-Back,0.8,2018/2019,Departure
Kim Källström,Arsenal,Central Midfield,0.75,2013/2014,Arrival
David Button,Tottenham Hotspur,Goalkeeper,0.63,2012/2013,Departure
Ola Aina,Chelsea,Right-Back,0.6,2018/2019,Departure
Lukas Podolski,Arsenal,Attacking Midfield,0.6,2014/2015,Departure
Simon Dawkins,Tottenham Hotspur,Left Winger,0.575,2013/2014,Departure
Rubén Sobrino,Manchester City,Centre-Forward,0.55,2015/2016,Arrival
José Pozo,Manchester City,Attacking Midfield,0.5,2015/2016,Departure
Thorgan Hazard,Chelsea,Left Winger,0.5,2012/2013,Arrival
Jason Denayer,Manchester City,Centre-Back,0.5,2017/2018,Departure
Michael Essien,Chelsea,Defensive Midfield,0.5,2013/2014,Departure
Chu-young Park,Arsenal,Centre-Forward,0.5,2012/2013,Departure
Abdul Rahman Baba,Chelsea,Left-Back,0.5,2016/2017,Departure
Christian Atsu,Chelsea,Left Winger,0.5,2016/2017,Departure
Semi Ajayi,Arsenal,Centre-Back,0.5,2013/2014,Arrival
Lawrence Vigouroux,Liverpool,Goalkeeper,0.48,2016/2017,Departure
Kevin De Bruyne,Chelsea,Attacking Midfield,0.45,2012/2013,Departure
Jason Denayer,Manchester City,Centre-Back,0.436,2015/2016,Departure
Johan Djourou,Arsenal,Centre-Back,0.4,2012/2013,Departure
Heurelho Gomes,Tottenham Hotspur,Goalkeeper,0.4,2012/2013,Departure
Papy Djilobodji,Chelsea,Centre-Back,0.4,2015/2016,Departure
Tiago Ilori,Liverpool,Centre-Back,0.35,2015/2016,Departure
Anthony Cáceres,Manchester City,Attacking Midfield,0.32,2015/2016,Arrival
Jake Livermore,Tottenham Hotspur,Defensive Midfield,0.3,2013/2014,Departure
Florian Lejeune,Manchester City,Centre-Back,0.3,2015/2016,Arrival
Matt Miazga,Chelsea,Centre-Back,0.3,2018/2019,Departure
Federico Macheda,Manchester United,Centre-Forward,0.3,2012/2013,Departure
Oriol Romeu,Chelsea,Defensive Midfield,0.25,2014/2015,Departure
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.25,2015/2016,Departure
Emmanuel Frimpong,Arsenal,Defensive Midfield,0.25,2013/2014,Departure
Ryan Fredericks,Tottenham Hotspur,Right-Back,0.25,2015/2016,Departure
Jonathan Obika,Tottenham Hotspur,Centre-Forward,0.25,2014/2015,Departure
Francis Coquelin,Arsenal,Defensive Midfield,0.2,2013/2014,Departure
Pablo Marí,Manchester City,Centre-Back,0.2,2016/2017,Arrival
Tomas Kalas,Chelsea,Centre-Back,0.2,2014/2015,Departure
Nico Yennaris,Arsenal,Defensive Midfield,0.1,2013/2014,Departure
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2014/2015,Departure
Wellington Silva,Arsenal,Right Winger,0.0,2014/2015,Departure
Semi Ajayi,Arsenal,Centre-Back,0.0,2014/2015,Departure
Grant Hall,Tottenham Hotspur,Centre-Back,0.0,2012/2013,Arrival
Kristoffer Olsson,Arsenal,Central Midfield,0.0,2014/2015,Departure
Chu-young Park,Arsenal,Centre-Forward,0.0,2014/2015,Departure
Jonathan Miles,Tottenham Hotspur,Goalkeeper,0.0,2012/2013,Arrival
Kim Källström,Arsenal,Central Midfield,0.0,2014/2015,Departure
Emiliano Viviano,Arsenal,Goalkeeper,0.0,2014/2015,Departure
Vedran Corluka,Tottenham Hotspur,Centre-Back,0.0,2012/2013,Arrival
Aleix García,Manchester City,Central Midfield,0.0,2016/2017,Arrival
Frank Lampard,Manchester City,Central Midfield,0.0,2014/2015,Arrival
Jason Denayer,Manchester City,Centre-Back,0.0,2014/2015,Arrival
José Pozo,Manchester City,Attacking Midfield,0.0,2014/2015,Arrival
Karim Rekik,Manchester City,Centre-Back,0.0,2012/2013,Departure
Ryo Miyaichi,Arsenal,Right Winger,0.0,2015/2016,Departure
Abou Diaby,Arsenal,Central Midfield,0.0,2015/2016,Departure
Semi Ajayi,Arsenal,Centre-Back,0.0,2015/2016,Departure
Mathieu Debuchy,Arsenal,Right-Back,0.0,2015/2016,Departure
Wojciech Szczęsny,Arsenal,Goalkeeper,0.0,2015/2016,Departure
Ryo Miyaichi,Arsenal,Right Winger,0.0,2014/2015,Departure
Daniel Boateng,Arsenal,Centre-Back,0.0,2014/2015,Departure
Yaya Sanogo,Arsenal,Centre-Forward,0.0,2014/2015,Departure
Andros Townsend,Tottenham Hotspur,Right Winger,0.0,2012/2013,Arrival
Oscar Jansson,Tottenham Hotspur,Goalkeeper,0.0,2012/2013,Arrival
Simon Dawkins,Tottenham Hotspur,Left Winger,0.0,2012/2013,Arrival
Enes Ünal,Manchester City,Centre-Forward,0.0,2016/2017,Departure
Harry Kane,Tottenham Hotspur,Centre-Forward,0.0,2012/2013,Arrival
Harry Kane,Tottenham Hotspur,Centre-Forward,0.0,2012/2013,Arrival
Ryan McGivern,Manchester City,Centre-Back,0.0,2013/2014,Departure
Abdul Razak,Manchester City,Central Midfield,0.0,2013/2014,Departure
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2016/2017,Departure
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2016/2017,Departure
Marlos Moreno,Manchester City,Left Winger,0.0,2016/2017,Departure
Abdul Razak,Manchester City,Central Midfield,0.0,2012/2013,Departure
Francis Coquelin,Arsenal,Defensive Midfield,0.0,2014/2015,Departure
David Bentley,Tottenham Hotspur,Right Midfield,0.0,2012/2013,Arrival
Steven Caulker,Tottenham Hotspur,Centre-Back,0.0,2012/2013,Arrival
David Bentley,Tottenham Hotspur,Right Midfield,0.0,2012/2013,Arrival
Danny Rose,Tottenham Hotspur,Left-Back,0.0,2012/2013,Arrival
Bacary Sagna,Arsenal,Right-Back,0.0,2014/2015,Departure
Nicklas Bendtner,Arsenal,Centre-Forward,0.0,2014/2015,Departure
Lukasz Fabianski,Arsenal,Goalkeeper,0.0,2014/2015,Departure
Jermaine Jenas,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Arrival
Wellington Silva,Arsenal,Right Winger,0.0,2015/2016,Departure
Carl Jenkinson,Arsenal,Right-Back,0.0,2014/2015,Departure
Serge Gnabry,Arsenal,Right Winger,0.0,2015/2016,Departure
Per Mertesacker,Arsenal,Centre-Back,0.0,2018/2019,Departure
Yaya Sanogo,Arsenal,Centre-Forward,0.0,2015/2016,Departure
Yaya Sanogo,Arsenal,Centre-Forward,0.0,2015/2016,Departure
Joel Campbell,Arsenal,Right Winger,0.0,2016/2017,Departure
Takuma Asano,Arsenal,Right Winger,0.0,2016/2017,Departure
Luke Brattan,Manchester City,Defensive Midfield,0.0,2015/2016,Arrival
Chuba Akpom,Arsenal,Centre-Forward,0.0,2016/2017,Departure
Matt Macey,Arsenal,Goalkeeper,0.0,2016/2017,Departure
Mathieu Flamini,Arsenal,Defensive Midfield,0.0,2016/2017,Departure
Mikel Arteta,Arsenal,Central Midfield,0.0,2016/2017,Departure
Patrick Roberts,Manchester City,Right Winger,0.0,2018/2019,Departure
Yaya Touré,Manchester City,Central Midfield,0.0,2018/2019,Departure
Yangel Herrera,Manchester City,Central Midfield,0.0,2016/2017,Departure
Kolo Touré,Manchester City,Centre-Back,0.0,2013/2014,Departure
Aaron Mooy,Manchester City,Central Midfield,0.0,2016/2017,Departure
David Pizarro,Manchester City,Central Midfield,0.0,2012/2013,Departure
Gunnar Nielsen,Manchester City,Goalkeeper,0.0,2012/2013,Departure
Michael Johnson,Manchester City,Defensive Midfield,0.0,2012/2013,Departure
Chuba Akpom,Arsenal,Centre-Forward,0.0,2017/2018,Departure
Owen Hargreaves,Manchester City,Defensive Midfield,0.0,2012/2013,Departure
Mathieu Debuchy,Arsenal,Right-Back,0.0,2017/2018,Departure
Yaya Sanogo,Arsenal,Centre-Forward,0.0,2017/2018,Departure
Lucas Pérez,Arsenal,Centre-Forward,0.0,2017/2018,Departure
Joel Campbell,Arsenal,Right Winger,0.0,2017/2018,Departure
Carl Jenkinson,Arsenal,Right-Back,0.0,2017/2018,Departure
Krystian Bielik,Arsenal,Defensive Midfield,0.0,2017/2018,Departure
Calum Chambers,Arsenal,Centre-Back,0.0,2016/2017,Departure
Luke Brattan,Manchester City,Defensive Midfield,0.0,2016/2017,Departure
Tomas Rosicky,Arsenal,Attacking Midfield,0.0,2016/2017,Departure
Aaron Mooy,Manchester City,Central Midfield,0.0,2016/2017,Arrival
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2017/2018,Departure
Matt Macey,Arsenal,Goalkeeper,0.0,2018/2019,Departure
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2018/2019,Departure
Krystian Bielik,Arsenal,Defensive Midfield,0.0,2018/2019,Departure
David Ospina,Arsenal,Goalkeeper,0.0,2018/2019,Departure
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2015/2016,Departure
Calum Chambers,Arsenal,Centre-Back,0.0,2018/2019,Departure
Chuba Akpom,Arsenal,Centre-Forward,0.0,2015/2016,Departure
Abdisalam Ibrahim,Manchester City,Central Midfield,0.0,2013/2014,Departure
Santi Cazorla,Arsenal,Central Midfield,0.0,2018/2019,Departure
Jack Wilshere,Arsenal,Central Midfield,0.0,2018/2019,Departure
Pablo Marí,Manchester City,Centre-Back,0.0,2016/2017,Departure
John Guidetti,Manchester City,Centre-Forward,0.0,2014/2015,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2014/2015,Arrival
Eirik Holmen Johansen,Manchester City,Goalkeeper,0.0,2014/2015,Arrival
Pablo Maffeo,Manchester City,Right-Back,0.0,2016/2017,Arrival
Angus Gunn,Manchester City,Goalkeeper,0.0,2016/2017,Arrival
Adam Drury,Manchester City,Right-Back,0.0,2014/2015,Arrival
Wayne Bridge,Manchester City,Left-Back,0.0,2013/2014,Departure
Roque Santa Cruz,Manchester City,Centre-Forward,0.0,2013/2014,Departure
Maicon,Manchester City,Right-Back,0.0,2013/2014,Departure
Rubén Sobrino,Manchester City,Centre-Forward,0.0,2016/2017,Departure
Krystian Bielik,Arsenal,Defensive Midfield,0.0,2016/2017,Departure
Denílson,Arsenal,Defensive Midfield,0.0,2013/2014,Departure
Kelechi Iheanacho,Manchester City,Centre-Forward,0.0,2015/2016,Arrival
Chuba Akpom,Arsenal,Centre-Forward,0.0,2015/2016,Arrival
Thomas Agyepong,Manchester City,Left Winger,0.0,2018/2019,Departure
Luke Brattan,Manchester City,Defensive Midfield,0.0,2015/2016,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2015/2016,Arrival
Jack Wilshere,Arsenal,Central Midfield,0.0,2016/2017,Arrival
Calum Chambers,Arsenal,Centre-Back,0.0,2016/2017,Arrival
Mathieu Debuchy,Arsenal,Right-Back,0.0,2016/2017,Arrival
Krystian Bielik,Arsenal,Defensive Midfield,0.0,2016/2017,Arrival
Chuba Akpom,Arsenal,Centre-Forward,0.0,2016/2017,Arrival
Matt Macey,Arsenal,Goalkeeper,0.0,2016/2017,Arrival
Marlos Moreno,Manchester City,Left Winger,0.0,2018/2019,Departure
Anthony Cáceres,Manchester City,Attacking Midfield,0.0,2018/2019,Departure
Anthony Cáceres,Manchester City,Attacking Midfield,0.0,2018/2019,Departure
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2015/2016,Arrival
Sead Kolasinac,Arsenal,Centre-Back,0.0,2017/2018,Arrival
Scott Sinclair,Manchester City,Left Winger,0.0,2015/2016,Arrival
Enes Ünal,Manchester City,Centre-Forward,0.0,2015/2016,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2014/2015,Departure
John Guidetti,Manchester City,Centre-Forward,0.0,2014/2015,Departure
Scott Sinclair,Manchester City,Left Winger,0.0,2014/2015,Departure
Karim Rekik,Manchester City,Centre-Back,0.0,2015/2016,Arrival
Ante Palaversa,Manchester City,Central Midfield,0.0,2018/2019,Departure
Ainsley Maitland-Niles,Arsenal,Right Midfield,0.0,2017/2018,Arrival
Wojciech Szczęsny,Arsenal,Goalkeeper,0.0,2017/2018,Arrival
Joel Campbell,Arsenal,Right Winger,0.0,2017/2018,Arrival
Carl Jenkinson,Arsenal,Right-Back,0.0,2017/2018,Arrival
Krystian Bielik,Arsenal,Defensive Midfield,0.0,2017/2018,Arrival
Ko Itakura,Manchester City,Centre-Back,0.0,2018/2019,Departure
Pablo Marí,Manchester City,Centre-Back,0.0,2018/2019,Departure
Rony Lopes,Manchester City,Right Winger,0.0,2015/2016,Arrival
Jason Denayer,Manchester City,Centre-Back,0.0,2015/2016,Arrival
Ryo Miyaichi,Arsenal,Right Winger,0.0,2015/2016,Arrival
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2013/2014,Departure
Yaya Sanogo,Arsenal,Centre-Forward,0.0,2015/2016,Arrival
Martín Demichelis,Manchester City,Centre-Back,0.0,2016/2017,Departure
Héctor Bellerín,Arsenal,Right-Back,0.0,2014/2015,Arrival
Joel Campbell,Arsenal,Right Winger,0.0,2014/2015,Arrival
Johan Djourou,Arsenal,Centre-Back,0.0,2014/2015,Arrival
Francis Coquelin,Arsenal,Defensive Midfield,0.0,2014/2015,Arrival
Francis Coquelin,Arsenal,Defensive Midfield,0.0,2014/2015,Arrival
Yaya Sanogo,Arsenal,Centre-Forward,0.0,2014/2015,Arrival
Wellington Silva,Arsenal,Right Winger,0.0,2014/2015,Arrival
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2014/2015,Arrival
Wellington Silva,Arsenal,Right Winger,0.0,2014/2015,Arrival
Kristoffer Olsson,Arsenal,Central Midfield,0.0,2014/2015,Arrival
Eliaquim Mangala,Manchester City,Centre-Back,0.0,2016/2017,Departure
Semi Ajayi,Arsenal,Centre-Back,0.0,2014/2015,Arrival
Joe Hart,Manchester City,Goalkeeper,0.0,2016/2017,Departure
Samir Nasri,Manchester City,Attacking Midfield,0.0,2016/2017,Departure
Chuba Akpom,Arsenal,Centre-Forward,0.0,2015/2016,Arrival
Matt Macey,Arsenal,Goalkeeper,0.0,2015/2016,Arrival
Alex Iwobi,Arsenal,Attacking Midfield,0.0,2015/2016,Arrival
Carl Jenkinson,Arsenal,Right-Back,0.0,2015/2016,Arrival
Lukas Podolski,Arsenal,Attacking Midfield,0.0,2015/2016,Arrival
Joel Campbell,Arsenal,Right Winger,0.0,2015/2016,Arrival
Serge Gnabry,Arsenal,Right Winger,0.0,2015/2016,Arrival
Wellington Silva,Arsenal,Right Winger,0.0,2015/2016,Arrival
Yaya Sanogo,Arsenal,Centre-Forward,0.0,2015/2016,Arrival
Rony Lopes,Manchester City,Right Winger,0.0,2014/2015,Departure
Jason Denayer,Manchester City,Centre-Back,0.0,2014/2015,Departure
Adam Drury,Manchester City,Right-Back,0.0,2014/2015,Departure
Bruno Zuculini,Manchester City,Defensive Midfield,0.0,2014/2015,Departure
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2015/2016,Arrival
Matija Nastasic,Manchester City,Centre-Back,0.0,2014/2015,Departure
Micah Richards,Manchester City,Right-Back,0.0,2015/2016,Arrival
Stephan Lichtsteiner,Arsenal,Right-Back,0.0,2018/2019,Arrival
Dejan Iliev,Arsenal,Goalkeeper,0.0,2018/2019,Arrival
Emmanuel Frimpong,Arsenal,Defensive Midfield,0.0,2012/2013,Departure
Oleksandr Zinchenko,Manchester City,Left-Back,0.0,2016/2017,Departure
Matija Nastasic,Manchester City,Centre-Back,0.0,2015/2016,Arrival
Eirik Holmen Johansen,Manchester City,Goalkeeper,0.0,2013/2014,Departure
Reece Wabara,Manchester City,Right-Back,0.0,2013/2014,Departure
Mohammed Abu,Manchester City,Defensive Midfield,0.0,2013/2014,Departure
Abdul Razak,Manchester City,Central Midfield,0.0,2013/2014,Departure
Karim Rekik,Manchester City,Centre-Back,0.0,2013/2014,Departure
John Guidetti,Manchester City,Centre-Forward,0.0,2013/2014,Departure
Craig Eastmond,Arsenal,Central Midfield,0.0,2012/2013,Departure
Wellington Silva,Arsenal,Right Winger,0.0,2012/2013,Departure
Gareth Barry,Manchester City,Defensive Midfield,0.0,2013/2014,Departure
Álvaro Negredo,Manchester City,Centre-Forward,0.0,2015/2016,Arrival
Louis Hutton,Manchester City,Central Midfield,0.0,2013/2014,Departure
Adam Smith,Tottenham Hotspur,Right-Back,0.0,2012/2013,Arrival
Andrey Arshavin,Arsenal,Left Winger,0.0,2013/2014,Departure
André Santos,Arsenal,Left-Back,0.0,2013/2014,Departure
Sébastien Squillaci,Arsenal,Centre-Back,0.0,2013/2014,Departure
Craig Eastmond,Arsenal,Central Midfield,0.0,2013/2014,Departure
Martin Angha,Arsenal,Centre-Back,0.0,2013/2014,Departure
James Shea,Arsenal,Goalkeeper,0.0,2013/2014,Departure
Elton Monteiro,Arsenal,Centre-Back,0.0,2013/2014,Departure
Johan Djourou,Arsenal,Centre-Back,0.0,2013/2014,Departure
Joel Campbell,Arsenal,Right Winger,0.0,2013/2014,Departure
Chu-young Park,Arsenal,Centre-Forward,0.0,2013/2014,Departure
Ignasi Miquel,Arsenal,Centre-Back,0.0,2013/2014,Departure
Wellington Silva,Arsenal,Right Winger,0.0,2013/2014,Departure
Nico Yennaris,Arsenal,Defensive Midfield,0.0,2013/2014,Departure
Daniel Boateng,Arsenal,Centre-Back,0.0,2013/2014,Departure
Joel Campbell,Arsenal,Right Winger,0.0,2012/2013,Departure
Emmanuel Frimpong,Arsenal,Defensive Midfield,0.0,2012/2013,Departure
Ryo Miyaichi,Arsenal,Right Winger,0.0,2012/2013,Departure
Gareth Barry,Manchester City,Defensive Midfield,0.0,2014/2015,Departure
Eddie Nketiah,Arsenal,Centre-Forward,0.0,2018/2019,Arrival
Calum Chambers,Arsenal,Centre-Back,0.0,2018/2019,Arrival
Lucas Pérez,Arsenal,Centre-Forward,0.0,2018/2019,Arrival
Joel Campbell,Arsenal,Right Winger,0.0,2018/2019,Arrival
Takuma Asano,Arsenal,Right Winger,0.0,2018/2019,Arrival
Krystian Bielik,Arsenal,Defensive Midfield,0.0,2018/2019,Arrival
Chuba Akpom,Arsenal,Centre-Forward,0.0,2018/2019,Arrival
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2018/2019,Arrival
Gerónimo Rulli,Manchester City,Goalkeeper,0.0,2016/2017,Departure
Jason Denayer,Manchester City,Centre-Back,0.0,2016/2017,Departure
Álvaro Negredo,Manchester City,Centre-Forward,0.0,2014/2015,Departure
Eirik Holmen Johansen,Manchester City,Goalkeeper,0.0,2014/2015,Departure
Costel Pantilimon,Manchester City,Goalkeeper,0.0,2014/2015,Departure
Joleon Lescott,Manchester City,Centre-Back,0.0,2014/2015,Departure
André Santos,Arsenal,Left-Back,0.0,2012/2013,Departure
Yangel Herrera,Manchester City,Central Midfield,0.0,2018/2019,Departure
Daniel Arzani,Manchester City,Right Winger,0.0,2018/2019,Departure
Luka Ilic,Manchester City,Attacking Midfield,0.0,2018/2019,Departure
Manu García,Manchester City,Attacking Midfield,0.0,2018/2019,Departure
Emiliano Martínez,Arsenal,Goalkeeper,0.0,2018/2019,Arrival
Matt Macey,Arsenal,Goalkeeper,0.0,2018/2019,Arrival
Jack Harrison,Manchester City,Right Winger,0.0,2018/2019,Departure
Reece Wabara,Manchester City,Right-Back,0.0,2013/2014,Departure
Pedro Botelho,Arsenal,Centre-Back,0.0,2012/2013,Departure
Manuel Almunia,Arsenal,Goalkeeper,0.0,2012/2013,Departure
Gavin Hoyte,Arsenal,Right-Back,0.0,2012/2013,Departure
Nicklas Bendtner,Arsenal,Centre-Forward,0.0,2012/2013,Departure
Marouane Chamakh,Arsenal,Centre-Forward,0.0,2012/2013,Departure
Jonathan Obika,Tottenham Hotspur,Centre-Forward,0.0,2012/2013,Arrival
Dedryck Boyata,Manchester City,Centre-Back,0.0,2012/2013,Arrival
John Bostock,Tottenham Hotspur,Central Midfield,0.0,2012/2013,Arrival
Cameron Lancaster,Tottenham Hotspur,Centre-Forward,0.0,2014/2015,Departure
